,names,scores,logfoldchanges,pvals,pvals_adj,abslfc
150,RCN3,123.59976,2.932699,0.0,0.0,2.932699
151,EIF4A1,123.55528,1.6825409,0.0,0.0,1.6825409
152,PTPN13,123.55474,2.1130674,0.0,0.0,2.1130674
153,IFITM2,123.54985,2.0277505,0.0,0.0,2.0277505
154,NRP2,123.49804,2.032711,0.0,0.0,2.032711
155,JCAD,123.38821,2.2781715,0.0,0.0,2.2781715
156,SEPTIN11,123.319916,2.3492045,0.0,0.0,2.3492045
157,PLAGL1,123.0361,2.0349243,0.0,0.0,2.0349243
158,ITPR1,123.01252,1.8377453,0.0,0.0,1.8377453
159,BASP1,122.88111,1.7582805,0.0,0.0,1.7582805
160,PLXDC2,122.84182,1.9514387,0.0,0.0,1.9514387
161,FN1,122.808205,2.7927208,0.0,0.0,2.7927208
162,MARCKS,122.78539,2.5641575,0.0,0.0,2.5641575
163,SAMD11,122.628044,2.419264,0.0,0.0,2.419264
164,BAALC,122.558304,2.8456507,0.0,0.0,2.8456507
165,DENND2A,122.55536,1.8057661,0.0,0.0,1.8057661
166,TNC,122.54597,2.9738808,0.0,0.0,2.9738808
167,RARRES2,122.51551,2.423782,0.0,0.0,2.423782
170,COL25A1,122.49686,2.4478693,0.0,0.0,2.4478693
171,ERRFI1,122.33776,2.1026514,0.0,0.0,2.1026514
172,SOX17,122.328804,2.3875504,0.0,0.0,2.3875504
174,CPNE8,122.22314,2.4028347,0.0,0.0,2.4028347
176,TGFBI,122.0614,4.3183312,0.0,0.0,4.3183312
177,PTPRZ1,122.02874,2.759503,0.0,0.0,2.759503
178,TAGLN2,121.74426,2.3502748,0.0,0.0,2.3502748
179,PTN,121.63834,2.2256145,0.0,0.0,2.2256145
183,SPON2,121.18259,3.2519665,0.0,0.0,3.2519665
184,PLAC9,121.163445,3.4489267,0.0,0.0,3.4489267
186,NTM,121.06354,2.557873,0.0,0.0,2.557873
187,CCDC3,121.03248,2.8970785,0.0,0.0,2.8970785
188,PCDH17,120.915344,2.2426713,0.0,0.0,2.2426713
189,FYB2,120.78762,3.58224,0.0,0.0,3.58224
190,PLCB1,120.77556,1.6184828,0.0,0.0,1.6184828
191,EZH2,120.683426,1.8897511,0.0,0.0,1.8897511
192,IGFBP4,120.68111,1.7552699,0.0,0.0,1.7552699
193,PPFIBP2,120.68077,2.0765824,0.0,0.0,2.0765824
195,PDLIM2,120.33444,1.7277666,0.0,0.0,1.7277666
196,COL6A3,120.17708,4.42003,0.0,0.0,4.42003
198,ANGPT2,120.1413,2.8416605,0.0,0.0,2.8416605
199,MSX1,119.914215,3.524263,0.0,0.0,3.524263
201,SEMA3E,119.858215,2.9005742,0.0,0.0,2.9005742
202,C1orf21,119.773964,1.8431921,0.0,0.0,1.8431921
206,TESK2,119.41333,1.8789924,0.0,0.0,1.8789924
207,LHX2,119.38552,3.6623394,0.0,0.0,3.6623394
208,CXCL14,119.379875,3.5895028,0.0,0.0,3.5895028
209,FLT1,119.25941,1.9802446,0.0,0.0,1.9802446
210,FRMD4A,119.1642,1.6197195,0.0,0.0,1.6197195
211,STAR,119.13573,2.568761,0.0,0.0,2.568761
213,KCNQ1OT1,118.86241,1.7816097,0.0,0.0,1.7816097
215,FLNB,118.41231,1.8454185,0.0,0.0,1.8454185
217,PTGER4,118.067085,3.5241957,0.0,0.0,3.5241957
218,P4HA1,117.79864,1.7685497,0.0,0.0,1.7685497
220,BST2,117.652756,3.016788,0.0,0.0,3.016788
221,PHLDA1,117.64503,2.071726,0.0,0.0,2.071726
222,FST,117.63453,1.9218147,0.0,0.0,1.9218147
223,COTL1,117.61968,1.9079714,0.0,0.0,1.9079714
224,KLF10,117.54914,1.8654695,0.0,0.0,1.8654695
225,IER5L,117.398285,1.5856485,0.0,0.0,1.5856485
226,CAMK2N1,117.25604,2.0017238,0.0,0.0,2.0017238
227,EIF2AK3-DT,116.98747,1.9888556,0.0,0.0,1.9888556
232,MECOM,116.55997,2.2447438,0.0,0.0,2.2447438
233,ETS1,116.515976,3.2878983,0.0,0.0,3.2878983
234,SMOC2,116.48707,3.6538665,0.0,0.0,3.6538665
235,CDH11,116.16477,2.7311077,0.0,0.0,2.7311077
236,DLK1,115.99441,3.6117165,0.0,0.0,3.6117165
237,LRRIQ1,115.93667,1.6204879,0.0,0.0,1.6204879
238,SMOC1,115.93532,2.8026147,0.0,0.0,2.8026147
239,EFNB2,115.91689,2.0823905,0.0,0.0,2.0823905
240,HAS2,115.869995,3.2627082,0.0,0.0,3.2627082
241,TUBB3,115.74739,2.2108135,0.0,0.0,2.2108135
242,ARL6IP1,115.74107,1.8993759,0.0,0.0,1.8993759
244,LBR,115.39019,1.629953,0.0,0.0,1.629953
245,NSG1,115.30663,2.4948182,0.0,0.0,2.4948182
246,GRIN2A,115.26662,1.8234649,0.0,0.0,1.8234649
247,S100A10,114.99576,2.5055199,0.0,0.0,2.5055199
248,RIPOR3,114.952,2.986544,0.0,0.0,2.986544
249,ITPR2,114.793594,1.7858543,0.0,0.0,1.7858543
252,SHISA3,114.61546,4.596431,0.0,0.0,4.596431
253,MEGF6,114.466774,1.5988171,0.0,0.0,1.5988171
254,PODXL,114.44542,2.661721,0.0,0.0,2.661721
255,CTSV,114.35353,2.4010217,0.0,0.0,2.4010217
256,APOC1,114.310585,2.5867243,0.0,0.0,2.5867243
257,IGFN1,114.0069,2.3936834,0.0,0.0,2.3936834
258,CYP1B1,113.973145,4.350842,0.0,0.0,4.350842
259,SLITRK5,113.94011,2.21991,0.0,0.0,2.21991
262,NKD1,113.776344,2.5366645,0.0,0.0,2.5366645
263,LGALS1,113.621284,2.6982305,0.0,0.0,2.6982305
264,RAMP2,113.58806,2.1481771,0.0,0.0,2.1481771
266,IER2,113.42164,1.7246865,0.0,0.0,1.7246865
267,SESN3,113.28128,1.5574523,0.0,0.0,1.5574523
268,MRC2,113.260956,1.6661537,0.0,0.0,1.6661537
269,KLF5,113.199356,2.1586273,0.0,0.0,2.1586273
270,FANCG,112.98022,1.7486635,0.0,0.0,1.7486635
271,F2R,112.843605,1.6645586,0.0,0.0,1.6645586
272,FZD7,112.691986,1.7429451,0.0,0.0,1.7429451
273,SLC7A2,112.51477,1.7127458,0.0,0.0,1.7127458
275,GJA1,112.20759,2.0288258,0.0,0.0,2.0288258
276,CCBE1,111.986244,2.5189579,0.0,0.0,2.5189579
277,COL1A1,111.9724,2.984922,0.0,0.0,2.984922
278,UCHL1,111.94909,1.968686,0.0,0.0,1.968686
279,CD24,111.89924,1.9311147,0.0,0.0,1.9311147
280,COBLL1,111.73474,2.3485196,0.0,0.0,2.3485196
284,KRT8,111.3405,1.8299893,0.0,0.0,1.8299893
287,RGS2,111.17047,2.1644702,0.0,0.0,2.1644702
291,RAB3B,110.95001,1.788735,0.0,0.0,1.788735
293,CCDC183,110.91667,1.6885086,0.0,0.0,1.6885086
294,CALD1,110.83569,1.6104712,0.0,0.0,1.6104712
296,FLRT2,110.77341,2.4618502,0.0,0.0,2.4618502
297,PDE3A,110.64383,2.4776618,0.0,0.0,2.4776618
300,CRABP1,110.62073,2.8195877,0.0,0.0,2.8195877
302,HOXB-AS3,110.33996,5.8334146,0.0,0.0,5.8334146
304,HTRA3,109.9775,1.9144828,0.0,0.0,1.9144828
305,TIMP1,109.93556,1.5103116,0.0,0.0,1.5103116
307,LUM,109.81087,5.5096083,0.0,0.0,5.5096083
308,WNT4,109.78044,4.7183533,0.0,0.0,4.7183533
309,TMSB10,109.37141,1.5790374,0.0,0.0,1.5790374
310,TUBA1C,109.36564,1.827318,0.0,0.0,1.827318
311,SP6,109.294235,1.7021146,0.0,0.0,1.7021146
312,DIAPH3,109.29179,2.4213138,0.0,0.0,2.4213138
313,UNC13C,109.24838,3.097682,0.0,0.0,3.097682
316,CENPW,109.19233,2.18504,0.0,0.0,2.18504
317,DKK1,109.18122,2.3195798,0.0,0.0,2.3195798
319,LINC00342,108.887596,1.7032328,0.0,0.0,1.7032328
320,TMEM88,108.70504,2.8408194,0.0,0.0,2.8408194
321,BRINP1,108.483925,2.7816772,0.0,0.0,2.7816772
322,MIAT,108.42027,1.7068468,0.0,0.0,1.7068468
323,DCX,108.21856,2.4316306,0.0,0.0,2.4316306
324,LRP2,108.16715,3.1873505,0.0,0.0,3.1873505
326,SLC5A12,108.090965,2.1494615,0.0,0.0,2.1494615
327,RGS16,108.02346,2.8364992,0.0,0.0,2.8364992
328,GBP4,107.93239,2.6803765,0.0,0.0,2.6803765
329,ITGA5,107.830574,1.6210867,0.0,0.0,1.6210867
331,GAP43,107.76588,2.9445066,0.0,0.0,2.9445066
332,KRT18,107.750595,2.0271592,0.0,0.0,2.0271592
334,COLEC12,107.62734,1.6649736,0.0,0.0,1.6649736
336,ACSM3,107.36396,2.7877183,0.0,0.0,2.7877183
337,COLEC11,107.35983,2.4848373,0.0,0.0,2.4848373
338,PARPBP,107.295815,2.0607285,0.0,0.0,2.0607285
340,CCDC80,107.058044,2.5068657,0.0,0.0,2.5068657
342,NTRK3,106.86848,2.7248669,0.0,0.0,2.7248669
346,DCLK1,106.64382,1.8087101,0.0,0.0,1.8087101
348,FOXC2,106.523254,3.1516228,0.0,0.0,3.1516228
349,GFPT2,106.48182,1.8078353,0.0,0.0,1.8078353
350,PLVAP,106.44071,2.457479,0.0,0.0,2.457479
355,OGFRL1,105.8583,1.5213017,0.0,0.0,1.5213017
357,PRDM6,105.694435,2.3330898,0.0,0.0,2.3330898
359,CA2,105.144516,2.9703805,0.0,0.0,2.9703805
360,TMSB4X,105.086876,1.850781,0.0,0.0,1.850781
362,ARHGAP29,104.72441,1.6004074,0.0,0.0,1.6004074
364,LAMA1,104.576324,1.946671,0.0,0.0,1.946671
365,NR2F1,104.42937,3.2069702,0.0,0.0,3.2069702
366,GINS4,104.1354,1.8623068,0.0,0.0,1.8623068
367,RGCC,103.9285,2.3103995,0.0,0.0,2.3103995
368,PRIM1,103.80631,2.0984945,0.0,0.0,2.0984945
370,LRRN4,103.67438,1.8159971,0.0,0.0,1.8159971
372,FILIP1L,103.57798,2.3199465,0.0,0.0,2.3199465
373,WT1,103.43887,3.6086485,0.0,0.0,3.6086485
374,SUCNR1,103.35015,4.3981786,0.0,0.0,4.3981786
375,SPDL1,103.34978,1.5804062,0.0,0.0,1.5804062
377,SEPTIN7,103.04467,1.5835727,0.0,0.0,1.5835727
380,HELLS,102.84444,2.0755274,0.0,0.0,2.0755274
382,CALB1,102.576416,1.9857743,0.0,0.0,1.9857743
384,ARL4C,102.53973,1.8955408,0.0,0.0,1.8955408
385,SBSPON,102.34004,2.5819454,0.0,0.0,2.5819454
386,MCM7,102.300644,1.6784732,0.0,0.0,1.6784732
387,KRT19,102.209816,1.9451387,0.0,0.0,1.9451387
389,MAB21L2,101.84717,3.0578115,0.0,0.0,3.0578115
391,VAMP8,101.675865,1.5261035,0.0,0.0,1.5261035
392,SAT1,101.59609,1.564034,0.0,0.0,1.564034
394,SOX9,101.42136,2.3648024,0.0,0.0,2.3648024
395,NTRK2,101.38762,3.1951659,0.0,0.0,3.1951659
397,ORC6,101.22238,1.8504055,0.0,0.0,1.8504055
398,RSPO2,101.186646,3.3021111,0.0,0.0,3.3021111
399,SPRY4,101.17048,1.8235872,0.0,0.0,1.8235872
400,FREM1,101.162544,1.7949735,0.0,0.0,1.7949735
401,MIR503HG,100.96527,3.2427087,0.0,0.0,3.2427087
402,WFDC2,100.844215,2.130553,0.0,0.0,2.130553
405,COL8A1,100.47406,3.1069498,0.0,0.0,3.1069498
408,MEX3B,100.09682,1.7878067,0.0,0.0,1.7878067
414,NRARP,99.35969,1.5715704,0.0,0.0,1.5715704
415,ANGPTL4,99.01156,1.5927414,0.0,0.0,1.5927414
416,LOX,98.93696,3.5018108,0.0,0.0,3.5018108
417,GRIA4,98.81067,2.4694445,0.0,0.0,2.4694445
421,PNOC,98.35835,3.0286736,0.0,0.0,3.0286736
426,TWIST1,97.28686,1.9036278,0.0,0.0,1.9036278
428,ALDH1A2,96.88262,2.3755624,0.0,0.0,2.3755624
429,TCEAL7,96.72602,1.531917,0.0,0.0,1.531917
431,LRP1B,96.39974,1.8379189,0.0,0.0,1.8379189
432,TUBB2B,96.291756,1.8841516,0.0,0.0,1.8841516
436,CCDC34,96.0138,2.0905633,0.0,0.0,2.0905633
438,PLCG2,95.99221,1.6504704,0.0,0.0,1.6504704
440,FAT4,95.72743,2.0814452,0.0,0.0,2.0814452
447,CDKN2B,94.869,3.3703718,0.0,0.0,3.3703718
448,NCCRP1,94.73525,2.2828424,0.0,0.0,2.2828424
453,DMC1,94.50517,1.9593897,0.0,0.0,1.9593897
455,PCLAF,94.181984,1.7300248,0.0,0.0,1.7300248
457,ITGA1,93.778534,2.362535,0.0,0.0,2.362535
460,RRM2,93.56436,1.9795414,0.0,0.0,1.9795414
463,PITX2,93.43234,1.5445857,0.0,0.0,1.5445857
