,GeneID,logfc_Native_CM_Ventricular,logfc_Native_CM_Atrial,logfc_Immature_CM,description
326,C21orf58,-2.4448473,-1.8500333,1.7689725,chromosome 21 open reading frame 58 [Source:HGNC Symbol;Acc:HGNC:1300]
328,IER2,-2.4305723,-2.1819794,1.7246865,immediate early response 2 [Source:HGNC Symbol;Acc:HGNC:28871]
331,DSC2,-2.4055684,-1.93638,1.9859737,desmocollin 2 [Source:HGNC Symbol;Acc:HGNC:3036]
332,MYBPC3,2.376546,2.071832,-4.07001,myosin binding protein C3 [Source:HGNC Symbol;Acc:HGNC:7551]
333,DYSF,2.3722486,2.3192763,-2.2418973,dysferlin [Source:HGNC Symbol;Acc:HGNC:3097]
335,SORBS2,2.34903,1.8288095,-3.0547712,sorbin and SH3 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24098]
339,KCNIP2,2.3285768,2.8453224,-1.8362035,potassium voltage-gated channel interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:15522]
340,G6PD,-2.319825,-1.8048015,1.7155218,glucose-6-phosphate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4057]
341,PODXL,-2.3130085,-2.4847152,2.661721,podocalyxin like [Source:HGNC Symbol;Acc:HGNC:9171]
343,EGR3,-2.221303,-2.1350284,2.8134973,early growth response 3 [Source:HGNC Symbol;Acc:HGNC:3240]
347,VAMP8,-2.1885917,-2.6647172,1.5261035,vesicle associated membrane protein 8 [Source:HGNC Symbol;Acc:HGNC:12647]
348,CCNF,-2.1871486,-2.102374,1.77669,cyclin F [Source:HGNC Symbol;Acc:HGNC:1591]
349,CYP1B1,-2.184862,-1.96838,4.350842,cytochrome P450 family 1 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:2597]
351,ADCY5,2.154366,2.2557273,-2.9509366,adenylate cyclase 5 [Source:HGNC Symbol;Acc:HGNC:236]
352,HLX,-2.1460109,-2.0779328,3.9925008,H2.0 like homeobox [Source:HGNC Symbol;Acc:HGNC:4978]
353,MEGF6,-2.1433363,-1.5316474,1.5988171,multiple EGF like domains 6 [Source:HGNC Symbol;Acc:HGNC:3232]
357,PPP1R12B,2.078759,2.2933033,-1.9869051,protein phosphatase 1 regulatory subunit 12B [Source:HGNC Symbol;Acc:HGNC:7619]
359,ART5,-2.0532596,-1.5734493,3.486112,ADP-ribosyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:24049]
360,LEPR,-2.0446806,-1.9247999,1.6749815,leptin receptor [Source:HGNC Symbol;Acc:HGNC:6554]
362,PPP1R3A,1.9271988,2.2434711,-5.6882772,protein phosphatase 1 regulatory subunit 3A [Source:HGNC Symbol;Acc:HGNC:9291]
367,GFPT2,-1.8369576,-1.7959795,1.8078353,glutamine-fructose-6-phosphate transaminase 2 [Source:HGNC Symbol;Acc:HGNC:4242]
368,MICAL1,-1.8336133,-1.6822604,1.9790202,"microtubule associated monooxygenase, calponin and LIM domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20619]"
369,SOX17,-1.7644767,-3.2450604,2.3875504,SRY-box transcription factor 17 [Source:HGNC Symbol;Acc:HGNC:18122]
370,MIR133A1HG,1.6852484,2.2469969,-2.1199925,MIR133A1 host gene [Source:HGNC Symbol;Acc:HGNC:49594]
371,KCNK6,-1.6835706,-2.4945292,2.571048,potassium two pore domain channel subfamily K member 6 [Source:HGNC Symbol;Acc:HGNC:6281]
372,LDB3,1.6826973,1.6006937,-3.851987,LIM domain binding 3 [Source:HGNC Symbol;Acc:HGNC:15710]
373,SEMA3D,-1.6819882,-1.8420994,1.758391,semaphorin 3D [Source:HGNC Symbol;Acc:HGNC:10726]
374,FSD2,1.6615247,1.9330271,-3.075191,fibronectin type III and SPRY domain containing 2 [Source:HGNC Symbol;Acc:HGNC:18024]
380,A2M,1.5167352,2.9472322,-2.3853056,alpha-2-macroglobulin [Source:HGNC Symbol;Acc:HGNC:7]
