,GeneID,logfc_Native_CM_Ventricular,logfc_Native_CM_Atrial,logfc_Immature_CM,description
110,FST,-5.066825,-5.668123,1.9218147,follistatin [Source:HGNC Symbol;Acc:HGNC:3971]
111,EVA1B,-5.0404396,-4.082176,2.693833,eva-1 homolog B [Source:HGNC Symbol;Acc:HGNC:25558]
112,HAS2,-5.0277824,-5.634543,3.2627082,hyaluronan synthase 2 [Source:HGNC Symbol;Acc:HGNC:4819]
113,PHGDH,-5.027269,-4.4070716,2.685277,phosphoglycerate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:8923]
114,RAMP2,-5.005653,-5.1158013,2.1481771,receptor activity modifying protein 2 [Source:HGNC Symbol;Acc:HGNC:9844]
115,BMP4,-5.005242,-5.193421,3.22554,bone morphogenetic protein 4 [Source:HGNC Symbol;Acc:HGNC:1071]
116,DLGAP5,-4.9836206,-4.7848454,2.1067448,DLG associated protein 5 [Source:HGNC Symbol;Acc:HGNC:16864]
117,ASPM,-4.9308896,-5.2784915,1.8827271,assembly factor for spindle microtubules [Source:HGNC Symbol;Acc:HGNC:19048]
118,TAGLN2,-4.908883,-3.860034,2.3502748,transgelin 2 [Source:HGNC Symbol;Acc:HGNC:11554]
119,IGDCC3,-4.8853574,-3.0874927,2.942045,immunoglobulin superfamily DCC subclass member 3 [Source:HGNC Symbol;Acc:HGNC:9700]
120,PLTP,-4.8821464,-3.6342564,2.250627,phospholipid transfer protein [Source:HGNC Symbol;Acc:HGNC:9093]
121,VTN,-4.851442,-4.7689734,1.801286,vitronectin [Source:HGNC Symbol;Acc:HGNC:12724]
122,CHD3,-4.8483377,-3.371068,1.7560111,chromodomain helicase DNA binding protein 3 [Source:HGNC Symbol;Acc:HGNC:1918]
123,FLT1,-4.812934,-4.4021397,1.9802446,fms related receptor tyrosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:3763]
124,TM4SF1,-4.7781053,-5.76086,3.1028314,transmembrane 4 L six family member 1 [Source:HGNC Symbol;Acc:HGNC:11853]
125,MAF,-4.77786,-3.1061149,1.7539777,MAF bZIP transcription factor [Source:HGNC Symbol;Acc:HGNC:6776]
126,LOX,-4.767123,-5.874673,3.5018108,lysyl oxidase [Source:HGNC Symbol;Acc:HGNC:6664]
127,GSTA1,-4.7648416,-4.0578785,2.461096,glutathione S-transferase alpha 1 [Source:HGNC Symbol;Acc:HGNC:4626]
129,EFNB2,-4.7489295,-3.189231,2.0823905,ephrin B2 [Source:HGNC Symbol;Acc:HGNC:3227]
130,CD24,-4.74868,-4.6469207,1.9311147,CD24 molecule [Source:HGNC Symbol;Acc:HGNC:1645]
131,AMIGO2,-4.740724,-5.495186,3.5785627,adhesion molecule with Ig like domain 2 [Source:HGNC Symbol;Acc:HGNC:24073]
132,TUBB3,-4.737746,-4.647665,2.2108135,tubulin beta 3 class III [Source:HGNC Symbol;Acc:HGNC:20772]
134,KITLG,-4.7092505,-2.5964167,1.6381576,KIT ligand [Source:HGNC Symbol;Acc:HGNC:6343]
135,SNAI2,-4.7016025,-4.7982125,3.3109856,snail family transcriptional repressor 2 [Source:HGNC Symbol;Acc:HGNC:11094]
136,LRRN4,-4.67967,-5.438923,1.8159971,leucine rich repeat neuronal 4 [Source:HGNC Symbol;Acc:HGNC:16208]
137,AQP3,-4.6683083,-3.0937228,2.5036023,aquaporin 3 (Gill blood group) [Source:HGNC Symbol;Acc:HGNC:636]
138,SPRY4,-4.6677613,-2.7492495,1.8235872,sprouty RTK signaling antagonist 4 [Source:HGNC Symbol;Acc:HGNC:15533]
139,EIF4A1,-4.65432,-4.8526683,1.6825409,eukaryotic translation initiation factor 4A1 [Source:HGNC Symbol;Acc:HGNC:3282]
140,LMO2,-4.649721,-3.1627696,1.8214161,LIM domain only 2 [Source:HGNC Symbol;Acc:HGNC:6642]
141,ETV2,-4.6465654,-4.719253,1.7215434,ETS variant transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3491]
142,PCDH18,-4.618978,-2.6888616,3.7628958,protocadherin 18 [Source:HGNC Symbol;Acc:HGNC:14268]
143,SPP1,-4.6137815,-5.954737,3.0210307,secreted phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11255]
144,THY1,-4.6038117,-3.7232726,3.2671647,Thy-1 cell surface antigen [Source:HGNC Symbol;Acc:HGNC:11801]
145,FN1,-4.5933814,-5.548657,2.7927208,fibronectin 1 [Source:HGNC Symbol;Acc:HGNC:3778]
146,FXYD5,-4.5809016,-4.5317965,2.8224456,FXYD domain containing ion transport regulator 5 [Source:HGNC Symbol;Acc:HGNC:4029]
148,CAMK2N1,-4.574549,-1.7134643,2.0017238,calcium/calmodulin dependent protein kinase II inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:24190]
149,CDH11,-4.5539117,-4.2120447,2.7311077,cadherin 11 [Source:HGNC Symbol;Acc:HGNC:1750]
150,CFI,-4.522139,-4.3499694,3.5577781,complement factor I [Source:HGNC Symbol;Acc:HGNC:5394]
152,IGFBP3,-4.4926224,-4.8368053,4.288042,insulin like growth factor binding protein 3 [Source:HGNC Symbol;Acc:HGNC:5472]
153,CKAP2L,-4.4392123,-4.102662,1.7336795,cytoskeleton associated protein 2 like [Source:HGNC Symbol;Acc:HGNC:26877]
154,NRARP,-4.4323125,-2.2146196,1.5715704,NOTCH regulated ankyrin repeat protein [Source:HGNC Symbol;Acc:HGNC:33843]
155,SOX4,-4.4285316,-2.7121964,1.95324,SRY-box transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:11200]
156,FBLN1,-4.4234114,-4.305232,3.480451,fibulin 1 [Source:HGNC Symbol;Acc:HGNC:3600]
157,NUSAP1,-4.420626,-3.7984536,2.0895753,nucleolar and spindle associated protein 1 [Source:HGNC Symbol;Acc:HGNC:18538]
159,SGO2,-4.383983,-3.0778227,1.6254497,shugoshin 2 [Source:HGNC Symbol;Acc:HGNC:30812]
160,DDIT4,-4.369661,-4.093365,1.6796033,DNA damage inducible transcript 4 [Source:HGNC Symbol;Acc:HGNC:24944]
161,SAMD11,-4.3662257,-3.9315438,2.419264,sterile alpha motif domain containing 11 [Source:HGNC Symbol;Acc:HGNC:28706]
162,S100A10,-4.3548427,-4.88638,2.5055199,S100 calcium binding protein A10 [Source:HGNC Symbol;Acc:HGNC:10487]
163,ENC1,-4.3093305,-2.6757076,3.042111,ectodermal-neural cortex 1 [Source:HGNC Symbol;Acc:HGNC:3345]
164,DAB2,-4.2934537,-3.781206,2.4740953,DAB adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:2662]
165,FHL3,-4.2927012,-3.682668,1.9485457,four and a half LIM domains 3 [Source:HGNC Symbol;Acc:HGNC:3704]
166,HMGB2,-4.2888546,-3.401192,1.5399979,high mobility group box 2 [Source:HGNC Symbol;Acc:HGNC:5000]
167,PRTG,-4.277783,-3.9940279,2.8963304,protogenin [Source:HGNC Symbol;Acc:HGNC:26373]
168,TFPI2,-4.27712,-4.68471,2.0954978,tissue factor pathway inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11761]
170,GNG8,-4.2551622,-2.4644613,1.7924733,G protein subunit gamma 8 [Source:HGNC Symbol;Acc:HGNC:19664]
171,FRZB,-4.2540135,-2.798573,2.4636126,frizzled related protein [Source:HGNC Symbol;Acc:HGNC:3959]
172,GINS4,-4.2449036,-4.0924835,1.8623068,GINS complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:28226]
174,FOXC2,-4.235163,-6.422861,3.1516228,forkhead box C2 [Source:HGNC Symbol;Acc:HGNC:3801]
175,COLEC11,-4.233407,-3.9581017,2.4848373,collectin subfamily member 11 [Source:HGNC Symbol;Acc:HGNC:17213]
176,COTL1,-4.220951,-2.6030905,1.9079714,coactosin like F-actin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:18304]
177,IFI16,-4.218978,-4.9678555,3.1733837,interferon gamma inducible protein 16 [Source:HGNC Symbol;Acc:HGNC:5395]
178,FOXC1,-4.203552,-2.7073605,3.1947174,forkhead box C1 [Source:HGNC Symbol;Acc:HGNC:3800]
