,names,scores,logfoldchanges,pvals,pvals_adj,abslfc
980,SMPX,-117.22679,-3.1402166,0.0,0.0,3.1402166
46,ZNF235,124.5283,3.1382794,0.0,0.0,3.1382794
1145,CCDC183,-123.95714,-3.1341863,0.0,0.0,3.1341863
1259,EIF4G1,-124.803215,-3.121566,0.0,0.0,3.121566
1039,MYL9,-120.948006,-3.1198485,0.0,0.0,3.1198485
1285,ZMAT3,-124.83651,-3.1160998,0.0,0.0,3.1160998
1117,CGNL1,-123.40471,-3.1156907,0.0,0.0,3.1156907
496,KIF2C,-9.501937,-3.109168,2.0602142542688842e-21,2.1253929720793165e-21,3.109168
1165,SHC2,-124.29759,-3.106724,0.0,0.0,3.106724
1148,RGCC,-124.0738,-3.1027434,0.0,0.0,3.1027434
1118,BTG1,-123.46123,-3.0990827,0.0,0.0,3.0990827
614,CALB1,-50.807636,-3.0990708,0.0,0.0,3.0990708
738,PMEL,-82.161766,-3.0944176,0.0,0.0,3.0944176
688,NDRG1,-69.86206,-3.0932252,0.0,0.0,3.0932252
910,RACGAP1,-112.30441,-3.0916548,0.0,0.0,3.0916548
800,SERPINI1,-95.410904,-3.0911584,0.0,0.0,3.0911584
951,SP6,-115.214745,-3.0908728,0.0,0.0,3.0908728
766,GDF15,-88.54961,-3.0859325,0.0,0.0,3.0859325
770,LRAT,-89.27819,-3.0842092,0.0,0.0,3.0842092
678,RBP4,-67.96247,-3.0820675,0.0,0.0,3.0820675
833,LINC00842,-101.30801,-3.0806282,0.0,0.0,3.0806282
933,RELN,-114.25745,-3.0651016,0.0,0.0,3.0651016
705,NSG1,-75.36075,-3.062207,0.0,0.0,3.062207
506,MEG3,-13.9976225,-3.0606363,1.611725862221027e-44,1.6894401071499236e-44,3.0606363
10,VPS13B,125.418846,3.059811,0.0,0.0,3.059811
152,SOX5,108.320724,3.053345,0.0,0.0,3.053345
617,GBP2,-51.66236,-3.0430071,0.0,0.0,3.0430071
1050,GATM,-121.23556,-3.0387154,0.0,0.0,3.0387154
801,PENK,-95.77461,-3.0381486,0.0,0.0,3.0381486
1099,FUT11,-122.806564,-3.036537,0.0,0.0,3.036537
1151,SMAD9,-124.166336,-3.0276275,0.0,0.0,3.0276275
706,PTPRZ1,-75.76433,-3.0270102,0.0,0.0,3.0270102
70,ITPR2,123.0646,3.017463,0.0,0.0,3.017463
748,NTS,-85.28798,-3.0082402,0.0,0.0,3.0082402
1095,EEF1A2,-122.77825,-2.9942153,0.0,0.0,2.9942153
776,RFTN1,-90.22586,-2.9934318,0.0,0.0,2.9934318
867,BBC3,-107.18967,-2.992277,0.0,0.0,2.992277
972,EPHB2,-116.83931,-2.9846988,0.0,0.0,2.9846988
792,PARPBP,-93.98814,-2.9845395,0.0,0.0,2.9845395
886,ERAS,-109.33417,-2.984085,0.0,0.0,2.984085
1006,DUSP5,-118.77014,-2.9827135,0.0,0.0,2.9827135
1135,NID2,-123.77058,-2.9825084,0.0,0.0,2.9825084
802,ARRDC2,-96.40304,-2.9733534,0.0,0.0,2.9733534
1142,CTSZ,-123.9085,-2.9699042,0.0,0.0,2.9699042
1194,LHFPL2,-124.50931,-2.967515,0.0,0.0,2.967515
992,PHLDA1,-118.08698,-2.9650042,0.0,0.0,2.9650042
612,SMOC1,-50.41699,-2.962126,0.0,0.0,2.962126
1075,GYPC,-122.394806,-2.961352,0.0,0.0,2.961352
997,SLIT2,-118.288956,-2.9565818,0.0,0.0,2.9565818
822,CALCRL,-99.55991,-2.9540286,0.0,0.0,2.9540286
903,KCNQ1OT1,-111.41273,-2.953227,0.0,0.0,2.953227
996,RGS9,-118.25762,-2.9495654,0.0,0.0,2.9495654
38,GTDC1,124.7503,2.9494174,0.0,0.0,2.9494174
846,ANKRD45,-103.02655,-2.949123,0.0,0.0,2.949123
946,ARHGAP4,-115.11362,-2.945203,0.0,0.0,2.945203
1157,CCDC144NL-AS1,-124.21047,-2.9426453,0.0,0.0,2.9426453
719,GJA4,-78.146645,-2.9398758,0.0,0.0,2.9398758
138,HMGCS2,110.85924,2.9356093,0.0,0.0,2.9356093
1063,CALM1,-121.84514,-2.9301474,0.0,0.0,2.9301474
902,PRSS23,-111.299545,-2.9248762,0.0,0.0,2.9248762
157,SPHKAP,107.4679,2.9248617,0.0,0.0,2.9248617
109,GRIA2,116.92715,2.9223914,0.0,0.0,2.9223914
110,SYNPO,116.58838,2.9183064,0.0,0.0,2.9183064
522,ACTG2,-24.957481,-2.913021,1.7712098473521855e-137,1.912753614851172e-137,2.913021
664,SREBF2-AS1,-63.400745,-2.9073353,0.0,0.0,2.9073353
745,LGALS3,-84.56302,-2.9063034,0.0,0.0,2.9063034
99,KCNK1,119.11319,2.9018958,0.0,0.0,2.9018958
649,PLAT,-60.24457,-2.8883228,0.0,0.0,2.8883228
1071,GSN,-122.32139,-2.87712,0.0,0.0,2.87712
817,C1orf105,-98.57236,-2.877081,0.0,0.0,2.877081
51,DNAH7,124.03572,2.8756926,0.0,0.0,2.8756926
888,ABCA7,-109.84614,-2.873927,0.0,0.0,2.873927
812,EPCAM,-98.1894,-2.8734407,0.0,0.0,2.8734407
155,GEM,107.76626,2.8705971,0.0,0.0,2.8705971
1346,FGF13,-124.94197,-2.8676,0.0,0.0,2.8676
1143,AKR1A1,-123.91481,-2.8660266,0.0,0.0,2.8660266
1057,LBH,-121.48077,-2.8648262,0.0,0.0,2.8648262
1027,ARHGEF25,-120.40467,-2.864499,0.0,0.0,2.864499
940,FANCG,-114.69954,-2.8616016,0.0,0.0,2.8616016
594,PRXL2A,-46.189976,-2.8550599,0.0,0.0,2.8550599
809,EPB41L2,-98.04626,-2.8463478,0.0,0.0,2.8463478
591,NCBP2AS2,-46.025112,-2.8459554,0.0,0.0,2.8459554
651,GBP1,-60.64317,-2.8452861,0.0,0.0,2.8452861
50,DENND1A,124.175514,2.8354948,0.0,0.0,2.8354948
192,CAMK1D,98.51586,2.8346682,0.0,0.0,2.8346682
33,MALAT1,124.82759,2.8318205,0.0,0.0,2.8318205
48,TIAM2,124.25696,2.828923,0.0,0.0,2.828923
1161,COL6A1,-124.27326,-2.8287792,0.0,0.0,2.8287792
1028,PLSCR4,-120.46812,-2.8257742,0.0,0.0,2.8257742
162,ACKR3,106.77244,2.8048744,0.0,0.0,2.8048744
722,KLHL14,-78.65604,-2.793686,0.0,0.0,2.793686
59,ST3GAL1,123.66263,2.7927997,0.0,0.0,2.7927997
1068,INTS6L,-122.188156,-2.792066,0.0,0.0,2.792066
528,KNL1,-26.700994,-2.7918687,4.5831805702697584e-157,4.9925714273091046e-157,2.7918687
768,PFKFB4,-89.00404,-2.788683,0.0,0.0,2.788683
1177,ZFPL1,-124.412796,-2.7868917,0.0,0.0,2.7868917
1036,C3orf33,-120.90185,-2.7868845,0.0,0.0,2.7868845
39,ERBB4,124.725136,2.785603,0.0,0.0,2.785603
710,ACTN3,-75.99226,-2.7752664,0.0,0.0,2.7752664
642,GPC3,-58.541676,-2.7727365,0.0,0.0,2.7727365
811,CXCL3,-98.15026,-2.7723076,0.0,0.0,2.7723076
864,MYL3,-106.544426,-2.770213,0.0,0.0,2.770213
586,CIAO2B,-44.819614,-2.767467,0.0,0.0,2.767467
1115,PNCK,-123.35347,-2.76355,0.0,0.0,2.76355
87,FRMD4A,121.698944,2.7621138,0.0,0.0,2.7621138
72,GBE1,122.96209,2.7578216,0.0,0.0,2.7578216
942,SPHK1,-114.76533,-2.7535684,0.0,0.0,2.7535684
1127,LASP1,-123.65587,-2.744066,0.0,0.0,2.744066
1025,STARD5,-119.92942,-2.743557,0.0,0.0,2.743557
150,ALDH1A2,108.483086,2.7431626,0.0,0.0,2.7431626
702,KRT7,-74.36492,-2.7411053,0.0,0.0,2.7411053
34,SIPA1L3,124.802315,2.7387893,0.0,0.0,2.7387893
561,SBSPON,-38.43607,-2.7357621,0.0,0.0,2.7357621
1313,HEXIM1,-124.880165,-2.734946,0.0,0.0,2.734946
1112,HMGCR,-123.29064,-2.7336838,0.0,0.0,2.7336838
124,GRIP1,114.02094,2.7286184,0.0,0.0,2.7286184
67,RCAN2,123.20992,2.7277584,0.0,0.0,2.7277584
1087,PAQR7,-122.60091,-2.7250898,0.0,0.0,2.7250898
27,RUBCN,124.94772,2.7222555,0.0,0.0,2.7222555
858,PRCD,-104.80688,-2.718551,0.0,0.0,2.718551
149,COLQ,108.581245,2.7163706,0.0,0.0,2.7163706
998,SCG2,-118.29392,-2.7143471,0.0,0.0,2.7143471
821,VSTM2L,-99.55701,-2.7141511,0.0,0.0,2.7141511
872,SLC30A1,-107.88493,-2.7124486,0.0,0.0,2.7124486
1187,SKIDA1,-124.46013,-2.712167,0.0,0.0,2.712167
607,TACC3,-48.869022,-2.7043335,0.0,0.0,2.7043335
581,ATP1B4,-43.954506,-2.7034502,0.0,0.0,2.7034502
1067,EZH2,-122.16175,-2.696296,0.0,0.0,2.696296
601,GET1,-47.29988,-2.6951199,0.0,0.0,2.6951199
807,CLDN5,-97.429306,-2.6950815,0.0,0.0,2.6950815
1004,HRC,-118.64177,-2.6880696,0.0,0.0,2.6880696
